SAMaccountName,Domain
ptso_chpw,IKASERVICES.COM
pwann_vhphc,IKASERVICES.COM
pwcika,IKASERVICES.COM
pwdtaskac,IKASYSTEMS.COM
regulatoryoversight,IKASYSTEMS.COM
reports,IKASYSTEMS.COM
reports_admin,IKASERVICES.COM
rootgw,IKASYSTEMS.COM
sa_bcbsm,IKAPROD90.COM
sa_cherwell_ika,IKASYSTEMS.COM
sa_claims_reports,IKASYSTEMS.COM
sa_pgp,IKASYSTEMS.COM
sa_report,IKASERVICES.COM
sa_sql,IKASERVICES.COM
sa_webspheremq,IKASERVICES.COM
salesoversight,IKASYSTEMS.COM
sa-mqadmin,IKASERVICES.COM
sa-reporting,IKAPROD90.COM
sa-tfsssp,IKASYSTEMS.COM
sa-voltage,IKASYSTEMS.COM
sa-webspheremq,IKAPROD90.COM
scan_dba,IKASERVICES.COM
scan10,IKASERVICES.COM
scanhp,IKASERVICES.COM
scanodi,IKASERVICES.COM
scanonsite-jira,IKASYSTEMS.COM
scom_config,IKASYSTEMS.COM
scom_datareader,IKASYSTEMS.COM
scom_datawriter,IKASYSTEMS.COM
scpt_usraccts,IKASYSTEMS.COM
sds,IKASERVICES.COM
sdsthp,IKASERVICES.COM
secops_test,SERVICES.ENTCORE.COM
secopstest,IKASYSTEMS.COM
secopstest2,IKASYSTEMS.COM
securityalerts,IKASYSTEMS.COM
setupuser,IKASYSTEMS.COM
sftnsftpika,IKASERVICES.COM
sftp_dmn_acnt_dr,IKASERVICES.COM
sftp_test,IKASERVICES.COM
sftp_user,IKASERVICES.COM
sgprobe_120,IKAPROD120.COM
shealth,IKASERVICES.COM
smartds,IKASERVICES.COM
soccerroom,IKASYSTEMS.COM
splunkweb,IKASYSTEMS.COM
sql_sa,IKAPROD90.COM
sqladmin,IKAPROD60.COM
sqlcmdshell,IKAPROD60.COM
sqlcmdshell,IKAPROD90.COM
sqlcmdshell,IKASTG.COM
sqlcmdshell,IKASYSTEMS.COM
sqlread,IKACLAIM.COM
sqlread,IKAPROD90.COM
sqlreportuser,IKACLAIM.COM
sqlserver_ls,IKACLAIM.COM
sqlserverls,IKACLAIM.COM
sqlserverls,IKAPROD55.COM
sqlserverls,IKAPROD60.COM
sqlserverls,IKAPROD90.COM
srv-scmadmin,IPERF194.COM
sslogship,IKAPROD60.COM
sslogship,IKAPROD90.COM
sslogship,IKASTG.COM
ssnrinewcards,IKASYSTEMS.COM
ssrs_lhp,IKAPROD60.COM
ssrs_reports,IKAPROD65.COM
ssrs_subs_prod,IKAPROD65.COM
ssrs_subs_user,IKAPROD65.COM
techsupport,IKASYSTEMS.COM
test,IKACLAIM.COM
test01,IKASERVICES.COM
testftp,IKASERVICES.COM
testmfauser,IKASYSTEMS.COM
tfsbuild2015,IKASYSTEMS.COM
tfsreporting2015,IKASYSTEMS.COM
tfssetup,IKASYSTEMS.COM
thc-mi-prh,IKACLAIMS45.COM
tksoft,IKASERVICES.COM
tksoft_medpartners,IKASERVICES.COM
totalhc,IKASERVICES.COM
touchstone,IKASERVICES.COM
twndmlls,IKASERVICES.COM
ubh,IKASERVICES.COM
umass,IKASYSTEMS.COM
upmc_rep,IKASTG.COM
upmc-letters,IKACLAIMS45.COM
upmc-prh,IKACLAIMS40.COM
upmcprhprod,IKASYSTEMS.COM
upmcprhqa,IKASYSTEMS.COM
user_acs,IKASERVICES.COM
user_affny,IKASERVICES.COM
user_chpw,IKASERVICES.COM
user_esychoice,IKASERVICES.COM
user_ghc,IKASERVICES.COM
user_hap,IKASERVICES.COM
user_horizon,IKASERVICES.COM
user_hphc,IKASERVICES.COM
user_ika,IKASERVICES.COM
user_scan,IKASERVICES.COM
userfmc,IKASERVICES.COM
userthc,IKASERVICES.COM
vcenter_ikavc01,SERVICES.ENTCORE.COM
vcenter_ikavc02,SERVICES.ENTCORE.COM
vendoroversight,IKASYSTEMS.COM
visadmin,IKASYSTEMS.COM
visiantbpoaccess,IKASYSTEMS.COM
visiantiam,IKASYSTEMS.COM
visianttest,IKASYSTEMS.COM
vpolicies,IKASYSTEMS.COM
vrajagopalan,IKASYSTEMS.COM
vtest1,IKASYSTEMS.COM
webhostingadmins,IKASYSTEMS.COM
websense_admin,IKASYSTEMS.COM
websphere-mq,IKASYSTEMS.COM
wellcare,IKASERVICES.COM
wellcare_sql_sa,IKASTG.COM
wellmed,IKASERVICES.COM
wellpoint-demo,IKACLAIM.COM
wllsfrg_chpw,IKASERVICES.COM
wwwv2staging,IKACLAIMS40.COM
xerox_acs,IKASERVICES.COM
xerox_odi,IKASERVICES.COM
xerox_odi2,IKASERVICES.COM
zomg_chpw,IKASERVICES.COM
